,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
25,0.149,0.137,8,-15.349,1,0.0326,0.846,1.96e-05,0.232,0.253,82.853,audio_features,3rIhZKroSQQjNcgGQsdaJF,spotify:track:3rIhZKroSQQjNcgGQsdaJF,https://api.spotify.com/v1/tracks/3rIhZKroSQQjNcgGQsdaJF,https://api.spotify.com/v1/audio-analysis/3rIhZKroSQQjNcgGQsdaJF,160347,3
26,0.238,0.143,5,-14.417,1,0.0342,0.953,0.0,0.116,0.165,68.696,audio_features,7AsR2HcqozArM3uDii35xX,spotify:track:7AsR2HcqozArM3uDii35xX,https://api.spotify.com/v1/tracks/7AsR2HcqozArM3uDii35xX,https://api.spotify.com/v1/audio-analysis/7AsR2HcqozArM3uDii35xX,194173,3
27,0.53,0.0853,0,-12.223,1,0.0327,0.927,0.0,0.126,0.112,78.372,audio_features,4cS2Ya30FLHqNb3hwbtjrJ,spotify:track:4cS2Ya30FLHqNb3hwbtjrJ,https://api.spotify.com/v1/tracks/4cS2Ya30FLHqNb3hwbtjrJ,https://api.spotify.com/v1/audio-analysis/4cS2Ya30FLHqNb3hwbtjrJ,194373,3
28,0.602,0.603,0,-8.029,1,0.87,0.735,0.0,0.848,0.233,115.219,audio_features,67HAs4WdVmQl4H8AvMDCVB,spotify:track:67HAs4WdVmQl4H8AvMDCVB,https://api.spotify.com/v1/tracks/67HAs4WdVmQl4H8AvMDCVB,https://api.spotify.com/v1/audio-analysis/67HAs4WdVmQl4H8AvMDCVB,183720,4
29,0.779,0.194,0,-14.596,1,0.0323,0.709,8.31e-05,0.0574,0.39,93.248,audio_features,4DD6qTLKWCVZl5fAZDVWOo,spotify:track:4DD6qTLKWCVZl5fAZDVWOo,https://api.spotify.com/v1/tracks/4DD6qTLKWCVZl5fAZDVWOo,https://api.spotify.com/v1/audio-analysis/4DD6qTLKWCVZl5fAZDVWOo,208800,4
30,0.583,0.712,3,-8.222,1,0.0538,0.263,1.02e-06,0.817,0.614,128.897,audio_features,15sxLiiChE5dCW3Y756oas,spotify:track:15sxLiiChE5dCW3Y756oas,https://api.spotify.com/v1/tracks/15sxLiiChE5dCW3Y756oas,https://api.spotify.com/v1/audio-analysis/15sxLiiChE5dCW3Y756oas,181267,4
31,0.808,0.421,8,-12.533,1,0.042,0.809,0.0,0.0724,0.963,122.752,audio_features,2cwTVrrgHxl4gcHY4IHr18,spotify:track:2cwTVrrgHxl4gcHY4IHr18,https://api.spotify.com/v1/tracks/2cwTVrrgHxl4gcHY4IHr18,https://api.spotify.com/v1/audio-analysis/2cwTVrrgHxl4gcHY4IHr18,160773,4
32,0.402,0.947,7,-6.649,1,0.0556,0.0171,0.0351,0.234,0.927,169.266,audio_features,0as1riy7crAcnNYnWaxEub,spotify:track:0as1riy7crAcnNYnWaxEub,https://api.spotify.com/v1/tracks/0as1riy7crAcnNYnWaxEub,https://api.spotify.com/v1/audio-analysis/0as1riy7crAcnNYnWaxEub,165735,4
33,0.691,0.0734,7,-13.319,1,0.0434,0.843,0.0,0.105,0.675,126.103,audio_features,7bs4wDnaX0z7BTeM6lTcYA,spotify:track:7bs4wDnaX0z7BTeM6lTcYA,https://api.spotify.com/v1/tracks/7bs4wDnaX0z7BTeM6lTcYA,https://api.spotify.com/v1/audio-analysis/7bs4wDnaX0z7BTeM6lTcYA,149627,4
34,0.17,0.288,5,-11.959,1,0.0309,0.717,0.0,0.148,0.339,94.826,audio_features,6u4RHQpFXlz5iq4Hm0XyrY,spotify:track:6u4RHQpFXlz5iq4Hm0XyrY,https://api.spotify.com/v1/tracks/6u4RHQpFXlz5iq4Hm0XyrY,https://api.spotify.com/v1/audio-analysis/6u4RHQpFXlz5iq4Hm0XyrY,143200,1
