,artist,song,decade,track_id,preview_url,track_name,artist_name,artist_id,genres
40,Doris Day,Secret Love,1950,7Hig0uoQDKT1eMVA62sTzd,https://p.scdn.co/mp3-preview/0f65a4e0b48b6a9097fed0fc2d4a42f607bee4f9?cid=b05f690e17ba4b758d92a214cfbc7f24,Secret Love,Doris Day,3ESG6pj6a0LvUKklENalT6,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']"
41,Jo Stafford,Make Love To Me!,1950,1FxxgBVRMCTMqdgEBZIBaI,https://audio-ssl.itunes.apple.com/itunes-assets/Music2/v4/c4/f7/93/c4f793f7-8062-1372-f6f7-3e48b74d78a3/mzaf_3436083746474132585.plus.aac.p.m4a,Make Love To Me,Jo Stafford,1Jqk46QvzUn7SnwmTGX6Cw,easy listening
42,Perry Como,Wanted,1950,77i95B3GcC2aOqK70RHM0m,https://p.scdn.co/mp3-preview/d0e1d3a4f6824f0276f6ed5f7a6c36c29fdd17ed?cid=b05f690e17ba4b758d92a214cfbc7f24,Wanted (with Henri René & His Orchestra and Chorus),Perry Como,5v8jlSmAQfrkTjAlpUfWtu,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']"
43,Kitty Kallen,Little Things Mean A Lot,1950,221XgJXCVkZ1ERPyfO3OlO,https://audio-ssl.itunes.apple.com/itunes-assets/Music/26/a1/9f/mzi.guqyanfk.aac.p.m4a,Little Things Mean A Lot,Kitty Kallen,0EYASMyi33J1ywBDgei1II,pop
44,The Crew Cuts,Sh-Boom,1950,7G2jAmiYUDZKyk7npVrgX8,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/7b/93/ed/7b93edb0-cb32-0336-792e-9c10fd9e427e/mzaf_101177031868632450.plus.aac.p.m4a,Sh-Boom,The Crew Cuts,49ttCh41vxv6R4r8S2YwXv,vocal
45,Rosemary Clooney,Hey There,1950,4YQU4nreaVr16nDq1uaI0E,https://audio-ssl.itunes.apple.com/itunes-assets/Music/98/1f/f0/mzm.eyxfprao.aac.p.m4a,Hey There,Rosemary Clooney,0NkyXWGxE3WTFixDSJ39PK,"['adult standards', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
46,Rosemary Clooney,This Ole House,1950,3reMY0PF49alfXMs30c2z4,https://p.scdn.co/mp3-preview/44f0b47dac6fad9328b87413c0d76a8b8277490f?cid=b05f690e17ba4b758d92a214cfbc7f24,This Ole House - Single Version,Rosemary Clooney,0NkyXWGxE3WTFixDSJ39PK,"['adult standards', 'easy listening', 'lounge', 'swing', 'torch song', 'vocal jazz']"
47,Eddie Fisher,I Need You Now,1950,0gxpt81ZzaX0x72k1NOojB,https://p.scdn.co/mp3-preview/2750fd9fbd64dfae00ee5c8dedf1eb69e7199861?cid=b05f690e17ba4b758d92a214cfbc7f24,I Need You Now - 2001 Remastered,Eddie Fisher,6bHSJldq5J4lYowHOm9OOX,"['adult standards', 'deep adult standards', 'easy listening', 'lounge']"
48,The Chordettes,Mr. Sandman,1950,3zopUGxKy1Uz4cKtDGjZry,https://p.scdn.co/mp3-preview/03edddb749797f651c20914055eb3b1de537bfc6?cid=b05f690e17ba4b758d92a214cfbc7f24,Mr. Sandman - 1954 #1 Billboard chart hit,The Chordettes,62GnBjssWSXBlKvQohT2Bk,pop
49,Joan Weber,"Let Me Go, Lover!",1950,2ghmhqUMZ4Z2GqpwrH8yLj,https://audio-ssl.itunes.apple.com/itunes-assets/Music/a9/51/1a/mzm.hlhpgehe.aac.p.m4a,"Let Me Go, Lover!",Joan Weber,7E7Tnr0je7c1jaOpD8lUWo,pop
50,The Fontane Sisters,Hearts Of Stone,1950,50Dq4YN1RoHWl8l16jjM2W,https://p.scdn.co/mp3-preview/ace303eb1961ba270f74dc9e25cc4c0a9a238f57?cid=b05f690e17ba4b758d92a214cfbc7f24,Hearts Of Stone,The Fontane Sisters,1Ml4OuStDoympbREURAM15,"['deep adult standards', 'vocal harmony group']"
51,The McGuire Sisters,Sincerely,1950,50AhgOXYVm9ASB6PlKdKk0,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/b8/1f/54/b81f5402-7ddb-6212-138e-99302c438a61/mzaf_7235121483140025720.plus.aac.p.m4a,Sincerely,The McGuire Sisters,6oXkzBf6bMupenvf4tKtmN,pop
52,Bill Hayes,The Ballad Of Davy Crockett,1950,5ZmGoux6Pu8rtfjBWtLR7w,https://audio-ssl.itunes.apple.com/itunes-assets/Music4/v4/c2/d1/75/c2d175fd-e545-46c8-4a98-b6218a058e3e/mzaf_2998317289629944764.plus.aac.p.m4a,"The Ballad of Davy Crockett - From ""Frontierland""",Bill Hayes,5IKDTwJ4ayz5TuYfibQ1Yi,pop
53,Pérez Prado,Cherry Pink And Apple Blossom White,1950,5HisVcYPaIB4uHdrnW6HCt,https://p.scdn.co/mp3-preview/6affe5b97a9c47c9dfdcb268d5749f13eaf17709?cid=b05f690e17ba4b758d92a214cfbc7f24,Cherry Pink And Apple Blossom White,Pérez Prado,1ZKhPkCXXgtiGgALn4OYtT,"['bolero', 'latin jazz', 'mambo', 'space age pop']"
